ID,Type,Entity,Policy,IaC
CKV_GCP_1,resource,google_container_cluster,Ensure Stackdriver Logging is set to Enabled on Kubernetes Engine Clusters,Terraform
CKV_GCP_2,resource,google_compute_firewall,Ensure Google compute firewall ingress does not allow unrestricted ssh access,Terraform
CKV_GCP_3,resource,google_compute_firewall,Ensure Google compute firewall ingress does not allow unrestricted rdp access,Terraform
CKV_GCP_4,resource,google_compute_ssl_policy,Ensure no HTTPS or SSL proxy load balancers permit SSL policies with weak cipher suites,Terraform
CKV_GCP_6,resource,google_sql_database_instance,Ensure all Cloud SQL database instance requires all incoming connections to use SSL,Terraform
CKV_GCP_7,resource,google_container_cluster,Ensure Legacy Authorization is set to Disabled on Kubernetes Engine Clusters,Terraform
CKV_GCP_8,resource,google_container_cluster,Ensure Stackdriver Monitoring is set to Enabled on Kubernetes Engine Clusters,Terraform
CKV_GCP_9,resource,google_container_node_pool,Ensure 'Automatic node repair' is enabled for Kubernetes Clusters,Terraform
CKV_GCP_10,resource,google_container_node_pool,Ensure 'Automatic node upgrade' is enabled for Kubernetes Clusters,Terraform
CKV_GCP_11,resource,google_sql_database_instance,Ensure that Cloud SQL database Instances are not open to the world,Terraform
CKV_GCP_12,resource,google_container_cluster,Ensure Network Policy is enabled on Kubernetes Engine Clusters,Terraform
CKV_GCP_13,resource,google_container_cluster,Ensure a client certificate is used by clients to authenticate to Kubernetes Engine Clusters,Terraform
CKV_GCP_14,resource,google_sql_database_instance,Ensure all Cloud SQL database instance have backup configuration enabled,Terraform
CKV_GCP_15,resource,google_bigquery_dataset,Ensure that BigQuery datasets are not anonymously or publicly accessible,Terraform
CKV_GCP_16,resource,google_dns_managed_zone,Ensure that DNSSEC is enabled for Cloud DNS,Terraform
CKV_GCP_17,resource,google_dns_managed_zone,Ensure that RSASHA1 is not used for the zone-signing and key-signing keys in Cloud DNS DNSSEC,Terraform
CKV_GCP_18,resource,google_container_cluster,Ensure GKE Control Plane is not public,Terraform
